Position,Move,Times_Repeated,Move_Number,Side,Original_Eval_Before,Original_Eval_After,Original_Eval_Drop,Original_Move_Quality,Stockfish_Eval_Drop,Stockfish_Move_Quality,Stockfish_Best_Move,Opening,Move_Theme,Board_Image,Your_Move_Eval,Best_Move_Eval,Eval_Difference
r1bqkb1r/pp3ppp/2P2n2/nB2p1N1/8/8/PPPP1PPP/RNBQK2R b KQkq - 0 7,bxc6,12,14,Black,0.15,0.22,-0.07,Inaccuracy,-55,Excellent,bxc6,Petroff Defense,capture,board_images/board_101.png,0.22,-0.33,0.55
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,Bg4,12,8,Black,-0.13,0.23,-0.36,Blunder,2,Inaccuracy,Nf6,King's Pawn Game,bishop_development,board_images/board_102.png,,,
rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,12,5,White,0.54,0.4,0.14,Mistake,124,Good,g3,Dutch Defense,knight_development; knight_development,board_images/board_103.png,,,
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 1 5,Nc3,12,9,White,0.33,0.21,0.12,Mistake,68,Excellent,Nc3,Queen's Gambit,knight_development; knight_development,board_images/board_104.png,,,
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,c5,12,2,Black,0.12,0.23,-0.11,Mistake,-42,Inaccuracy,e5,Unknown,pawn_push; central_control; queenside_attack,board_images/board_105.png,,,
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,11,9,White,0.37,0.31,0.06,Inaccuracy,56,Good,e3,Queen's Gambit,bishop_development; bishop_development,board_images/board_106.png,,,
rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,11,9,White,0.52,0.16,0.36,Blunder,66,Inaccuracy,Qb3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_107.png,0.16,0.82,0.66
rnbqkbnr/ppp2ppp/8/4p3/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,11,7,White,0.36,0.29,0.07,Inaccuracy,69,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_108.png,,,
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 4 5,Nf3,11,9,White,0.17,0.13,0.04,Good,55,Good,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_109.png,,,
rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,d5,11,2,Black,-0.23,-0.23,0.0,Best,55,Excellent,d5,Unknown,pawn_push; central_control,board_images/board_110.png,,,
r1bqkb1r/ppp2ppp/2p2n2/4P3/8/8/PPPP1PPP/RNBQKB1R b KQkq - 0 5,Ne4,11,10,Black,1.11,2.13,-1.02,Blunder,-318,Inaccuracy,Nd5,Petroff Defense,knight_development,board_images/board_111.png,2.13,-1.05,3.18
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,11,3,White,0.69,-0.16,0.85,Blunder,64,Inaccuracy,d5,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_112.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,Nc6,11,6,Black,-0.02,0.09,-0.11,Mistake,-16,Good,Bc5,King's Pawn Game,knight_development; knight_development,board_images/board_113.png,,,
r1bqkbnr/ppp1pppp/2n5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,10,5,White,0.51,0.53,-0.02,Good,133,Good,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_114.png,,,
rn1qkb1r/pp3ppp/2p1pn2/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,10,11,White,1.08,0.31,0.77,Blunder,160,Mistake,Ne5,Queen's Gambit,general,board_images/board_115.png,0.31,1.91,1.60
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,10,5,White,0.63,-0.09,0.72,Blunder,62,Inaccuracy,d5,Benoni Defense,knight_development; knight_development,board_images/board_116.png,,,
rnbqkbnr/p3pppp/2p5/1p6/P1pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 5,axb5,10,9,White,1.85,1.89,-0.04,Good,390,Excellent,axb5,Queen's Gambit,capture,board_images/board_117.png,,,
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,10,11,White,0.44,0.47,-0.03,Good,74,Excellent,e3,Queen's Pawn Game,general,board_images/board_118.png,,,
rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,10,9,White,0.39,0.33,0.06,Inaccuracy,73,Good,Nh4,Queen's Gambit,bishop_development; bishop_development,board_images/board_119.png,0.33,1.06,0.73
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2Q2/PPPP2PP/R1B1KBNR b KQkq - 1 5,Nxc3,10,10,Black,-0.29,0.17,-0.46,Blunder,17,Good,f5,King's Pawn Game,capture,board_images/board_120.png,,,
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,10,9,White,0.32,0.24,0.08,Inaccuracy,61,Good,Bf4,Queen's Gambit,bishop_development; bishop_development,board_images/board_121.png,,,
r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,Nf3,10,7,White,0.55,0.55,0.0,Best,116,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_122.png,0.55,1.71,1.16
rnbqkb1r/ppp1pppp/5n2/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,9,7,White,0.24,-0.32,0.56,Blunder,13,Inaccuracy,e3,Queen's Pawn Game,pawn_push; central_control,board_images/board_123.png,,,
r1bqk2r/ppp2ppp/2p2n2/2b3B1/4P3/3P4/PPP2PPP/RN1QKB1R b KQkq - 2 6,Nxe4,9,12,Black,-3.66,-3.88,0.22,Blunder,688,Excellent,Nxe4,Petroff Defense,tactical; capture,board_images/board_124.png,-3.88,3.00,6.88
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,Nf6,9,4,Black,-0.15,-0.07,-0.08,Inaccuracy,31,Good,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_125.png,,,
rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,9,5,White,0.56,0.59,-0.03,Good,113,Good,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_126.png,,,
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,d5,9,2,Black,0.21,0.22,-0.01,Excellent,-40,Good,e5,Unknown,pawn_push; central_control,board_images/board_127.png,,,
r1bqk2r/pp1nbppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,Bd3,9,13,White,0.36,0.35,0.01,Excellent,60,Inaccuracy,Qc2,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_128.png,0.35,0.95,0.60
rnbqkb1r/pp3ppp/4pn2/3p2B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Nxd4,9,11,White,-0.04,-0.07,0.03,Good,39,Excellent,Nxd4,Queen's Gambit,capture,board_images/board_129.png,,,
rnbqk2r/ppp1bpp1/4pn1p/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Bh4,9,11,White,0.24,0.23,0.01,Excellent,47,Good,Bxf6,Queen's Pawn Game,bishop_development,board_images/board_130.png,,,
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 6 6,e3,9,11,White,0.26,0.22,0.04,Good,46,Excellent,e3,Queen's Gambit,general,board_images/board_131.png,0.22,0.68,0.46
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR b KQkq - 0 5,c5,9,10,Black,0.21,0.4,-0.19,Mistake,-66,Inaccuracy,O-O,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_132.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,Be7,9,8,Black,0.24,0.3,-0.06,Inaccuracy,-47,Good,c5,Queen's Gambit,bishop_development; bishop_development,board_images/board_133.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,Bc5,9,8,Black,-0.31,0.19,-0.5,Blunder,27,Good,Nxe4,Petroff Defense,bishop_development,board_images/board_134.png,0.19,0.46,0.27
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Nf6,9,8,Black,0.19,0.12,0.07,Inaccuracy,-28,Good,Bg4,Queen's Pawn Game,knight_development; knight_development,board_images/board_135.png,,,
r1bqk2r/ppp2ppp/2p2n2/2b5/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQkq - 3 6,Ng4,9,12,Black,-0.85,-1.15,0.3,Blunder,194,Excellent,Ng4,Petroff Defense,knight_development,board_images/board_136.png,-1.15,0.79,1.94
r1bqk2r/ppp2ppp/2p5/2b5/2B1P1n1/2N5/PPPP1PPP/R1BQ1RK1 b kq - 5 7,Qh4,9,14,Black,-2.2,-2.28,0.08,Inaccuracy,511,Excellent,Qh4,Petroff Defense,general,board_images/board_137.png,-2.28,2.83,5.11
r1b1k2r/ppp2ppp/2p5/2b5/2B1P1nq/2N4P/PPPP1PP1/R1BQ1RK1 b kq - 0 8,Nxf2,9,16,Black,-2.49,-2.31,-0.18,Mistake,472,Good,Bxf2+,Petroff Defense,capture,board_images/board_138.png,-2.31,2.41,4.72
rnbqkbnr/pp1ppppp/8/8/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Qxd4,9,5,White,-0.12,-0.09,-0.03,Good,-4,Excellent,Qxd4,Queen's Pawn Game,tactical; capture,board_images/board_139.png,,,
rnbqkbnr/p3pppp/8/1p6/2pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 6,Qf3,9,11,White,3.02,3.13,-0.11,Mistake,614,Excellent,Qf3,Queen's Gambit,general,board_images/board_140.png,,,
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,9,11,White,0.39,0.41,-0.02,Excellent,66,Excellent,e3,Queen's Gambit,general,board_images/board_141.png,,,
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,9,7,White,0.21,0.25,-0.04,Good,51,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_142.png,,,
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,a6,8,8,Black,0.2,0.49,-0.29,Blunder,-64,Inaccuracy,Bd6,Petroff Defense,defensive,board_images/board_143.png,0.49,-0.15,0.64
rnbqk2r/pppp1pp1/4pn1p/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,Bh4,8,9,White,-0.08,0.1,-0.18,Mistake,22,Excellent,Bh4,Queen's Pawn Game,bishop_development,board_images/board_144.png,,,
rnbqkb1r/pp1ppppp/5n2/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Qxd4,8,7,White,-0.22,-0.11,-0.11,Mistake,-21,Excellent,Qxd4,Benoni Defense,tactical; capture,board_images/board_145.png,,,
r1bqkb1r/pp1ppppp/2n2n2/8/2PQ4/2N5/PP2PPPP/R1B1KBNR w KQkq - 1 5,Qd1,8,9,White,-0.12,-0.18,0.06,Inaccuracy,-33,Good,Qd3,Benoni Defense,general,board_images/board_146.png,-0.18,-0.51,0.33
rnbqkb1r/pp1ppppp/2p2n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,8,5,White,0.29,0.28,0.01,Excellent,73,Good,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_147.png,,,
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,8,5,White,0.49,0.28,0.21,Blunder,68,Inaccuracy,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_148.png,,,
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,Nf3,8,9,White,0.2,0.18,0.02,Good,48,Excellent,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_149.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,Nc6,8,6,Black,0.09,0.24,-0.15,Mistake,-30,Inaccuracy,c6,King's Pawn Game,knight_development; knight_development,board_images/board_150.png,,,
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Nf3,8,7,White,0.69,0.62,0.07,Inaccuracy,153,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_151.png,,,
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,8,7,White,0.57,0.51,0.06,Inaccuracy,159,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_152.png,0.51,2.10,1.59
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,8,7,White,0.57,0.47,0.1,Inaccuracy,98,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_153.png,,,
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 2 6,Bg5,8,11,White,0.54,0.47,0.07,Inaccuracy,92,Inaccuracy,Nf3,King's Indian Defense,bishop_development; bishop_development,board_images/board_154.png,0.47,1.39,0.92
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nc3,8,7,White,0.59,0.61,-0.02,Good,139,Good,Qe2,Queen's Pawn Game,knight_development; knight_development,board_images/board_155.png,,,
rnbq1rk1/pp2bppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,8,13,White,0.41,0.28,0.13,Mistake,64,Inaccuracy,h4,Queen's Gambit,bishop_development; bishop_development,board_images/board_156.png,0.28,0.92,0.64
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nf6,8,6,Black,0.01,0.14,-0.13,Mistake,-9,Excellent,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_157.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,8,5,White,0.66,-0.12,0.78,Blunder,66,Good,dxe5,Budapest Gambit,knight_development; knight_development,board_images/board_158.png,,,
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,dxc5,8,3,White,0.69,0.09,0.6,Blunder,80,Good,d5,Queen's Pawn Game,capture,board_images/board_159.png,,,
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,8,2,Black,0.19,0.17,0.02,Excellent,-28,Inaccuracy,d5,Unknown,pawn_push; central_control,board_images/board_160.png,,,
rnbqkbnr/ppp2ppp/4p3/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,7,7,White,0.62,0.59,0.03,Good,104,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_161.png,,,
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,7,9,White,0.55,0.43,0.12,Mistake,118,Good,e3,Queen's Gambit,bishop_development; bishop_development,board_images/board_162.png,0.43,1.61,1.18
rnbqkbnr/pp2pppp/8/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Nc6,7,6,Black,0.19,0.19,0.0,Best,-40,Inaccuracy,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_163.png,,,
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Bf4,7,7,White,0.59,0.28,0.31,Blunder,96,Inaccuracy,Nc3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_164.png,,,
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,7,9,White,0.95,0.39,0.56,Blunder,139,Mistake,Ne5,Queen's Gambit,bishop_development; bishop_development,board_images/board_165.png,0.39,1.78,1.39
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N2N2/PP2PPPP/R2QKB1R w KQ - 2 7,e3,7,13,White,0.17,0.16,0.01,Excellent,44,Excellent,e3,Queen's Pawn Game,general,board_images/board_166.png,0.16,0.60,0.44
r1b1kb1r/ppp2ppp/2n5/3qp3/4N3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 0 7,Bg4,7,14,Black,-1.64,-1.51,-0.13,Mistake,336,Excellent,Bg4,Petroff Defense,bishop_development,board_images/board_167.png,-1.51,1.85,3.36
rn1qkb1r/pp3ppp/2p1pn2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,7,11,White,0.27,0.15,0.12,Mistake,51,Inaccuracy,Qb3,Queen's Pawn Game,general,board_images/board_168.png,0.15,0.66,0.51
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,h6,7,10,Black,0.14,0.94,-0.8,Blunder,-84,Inaccuracy,Nd4,Petroff Defense,defensive,board_images/board_169.png,0.94,0.10,0.84
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2N2/PPPP2PP/R1BQKB1R b KQkq - 1 5,Bg4,7,10,Black,-0.2,0.3,-0.5,Blunder,-30,Inaccuracy,Bb4,King's Pawn Game,bishop_development,board_images/board_170.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,Nc6,7,6,Black,0.18,0.55,-0.37,Blunder,-61,Inaccuracy,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_171.png,,,
rn1qk1nr/pp2bppp/2p1p3/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,Bxe7,7,11,White,0.12,0.05,0.07,Inaccuracy,28,Good,Qb3,Queen's Gambit,capture,board_images/board_172.png,0.05,0.33,0.28
rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,exd5,7,6,Black,0.1,0.12,-0.02,Excellent,-45,Excellent,exd5,Queen's Gambit,pawn_capture; capture,board_images/board_173.png,,,
r1bqkbnr/pp1ppppp/2n5/8/2PQ4/8/PP2PPPP/RNB1KBNR w KQkq - 1 4,Qd1,7,7,White,-0.15,-0.21,0.06,Inaccuracy,-22,Good,Qd3,Queen's Pawn Game,general,board_images/board_174.png,,,
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQ - 4 5,Bg5,7,9,White,0.22,0.09,0.13,Mistake,18,Good,Qc2,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_175.png,0.09,0.27,0.18
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,Nc6,7,6,Black,0.14,0.15,-0.01,Excellent,-24,Excellent,Nc6,Queen's Pawn Game,knight_development; knight_development,board_images/board_176.png,,,
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,Bg4,7,10,Black,0.15,0.16,-0.01,Excellent,-27,Inaccuracy,Nh5,Queen's Pawn Game,bishop_development,board_images/board_177.png,0.16,-0.11,0.27
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,7,11,White,0.24,0.19,0.05,Good,53,Excellent,e3,Queen's Gambit,general,board_images/board_178.png,0.19,0.72,0.53
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,h6,7,6,Black,0.09,0.3,-0.21,Blunder,-25,Inaccuracy,c6,King's Pawn Game,defensive,board_images/board_179.png,,,
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,7,9,White,0.3,0.09,0.21,Blunder,23,Good,a4,Queen's Pawn Game,pawn_push; central_control,board_images/board_180.png,,,
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 2 6,e6,7,12,Black,0.24,0.18,0.06,Inaccuracy,-44,Excellent,e6,Queen's Pawn Game,general,board_images/board_181.png,0.18,-0.26,0.44
r1bqkb1r/p4ppp/2p2n2/n3p1N1/B7/8/PPPP1PPP/RNBQK2R b KQkq - 1 8,h6,7,16,Black,-1.96,-1.79,-0.17,Mistake,348,Excellent,h6,Petroff Defense,defensive,board_images/board_182.png,-1.79,1.69,3.48
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3PB3/PPP2PPP/RN1QKB1R b KQkq - 2 6,Bxe3,6,12,Black,0.61,0.68,-0.07,Inaccuracy,-140,Excellent,Bxe3,Petroff Defense,capture,board_images/board_183.png,0.68,-0.72,1.40
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d5,6,3,White,0.69,0.78,-0.09,Inaccuracy,153,Excellent,d5,Queen's Pawn Game,pawn_push; central_control,board_images/board_184.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p1B1/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Be7,6,8,Black,-0.39,-0.11,-0.28,Blunder,58,Inaccuracy,d5,Petroff Defense,bishop_development; bishop_development,board_images/board_185.png,-0.11,0.47,0.58
r1bBk2r/ppp2ppp/2p5/2b5/4n3/3P4/PPP2PPP/RN1QKB1R b KQkq - 0 7,Bxf2+,6,14,Black,-99.98,-99.99,0.01,Excellent,19997,Excellent,Bxf2+,Petroff Defense,capture; check,board_images/board_186.png,-99.99,99.98,199.97
r1bBk2r/ppp2ppp/2p5/8/4n3/3P4/PPP1KbPP/RN1Q1B1R b kq - 1 8,Bg4#,6,16,Black,-99.99,-100.0,0.01,Excellent,19999,Excellent,Bg4#,Petroff Defense,bishop_development; checkmate,board_images/board_187.png,-100.00,99.99,199.99
rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4,6,5,White,1.62,0.34,1.28,Blunder,188,Mistake,Nf3,Queen's Pawn Game,pawn_push; central_control,board_images/board_188.png,,,
rnbqk1nr/ppppppbp/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nf3,6,5,White,0.47,0.32,0.15,Mistake,89,Inaccuracy,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_189.png,0.32,1.21,0.89
rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,6,7,White,0.28,0.23,0.05,Inaccuracy,52,Good,e3,Queen's Gambit,pawn_push; central_control,board_images/board_190.png,,,
r1b1kb1r/ppp2ppp/2n5/3qp3/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 7,Qd8,6,14,Black,-1.45,-0.89,-0.56,Blunder,207,Mistake,Qd6,Petroff Defense,general,board_images/board_191.png,-0.89,1.18,2.07
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nc6,6,6,Black,0.01,0.08,-0.07,Inaccuracy,-7,Excellent,Nc6,Queen's Pawn Game,knight_development; knight_development,board_images/board_192.png,,,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,Nf6,6,6,Black,0.07,0.11,-0.04,Good,10,Good,dxc4,Queen's Gambit,knight_development; knight_development,board_images/board_193.png,,,
r1bqkb1r/pppp1ppp/2n2n2/8/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 3 5,Nc3,6,9,White,-0.11,-0.12,0.01,Excellent,-22,Excellent,Nc3,Queen's Pawn Game,knight_development; knight_development,board_images/board_194.png,-0.12,-0.34,0.22
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 0 3,Nc6,6,6,Black,0.07,0.11,-0.04,Good,-9,Good,Qb6,Queen's Pawn Game,knight_development; knight_development,board_images/board_195.png,,,
r2qkb1r/pp1npppp/2p2n2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,6,11,White,0.17,0.2,-0.03,Good,34,Good,Nh4,Queen's Gambit,general,board_images/board_196.png,0.20,0.54,0.34
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nxd4,6,10,Black,0.1,1.36,-1.26,Blunder,-118,Inaccuracy,Bb4,Petroff Defense,capture,board_images/board_197.png,1.36,0.18,1.18
r1bqkb1r/pppp1ppp/5n2/8/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq - 0 6,c5,6,12,Black,1.4,1.99,-0.59,Blunder,-352,Inaccuracy,d6,Petroff Defense,pawn_push; central_control; queenside_attack,board_images/board_198.png,1.99,-1.53,3.52
r1bqk2r/pp2bppp/2n1pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,Bd3,6,13,White,0.51,-0.18,0.69,Blunder,10,Inaccuracy,dxc5,Queen's Gambit,bishop_development; bishop_development,board_images/board_199.png,-0.18,-0.08,0.10
rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,c5,6,4,Black,-0.21,-0.17,-0.04,Good,55,Excellent,c5,Bird's Opening,pawn_push; central_control; queenside_attack,board_images/board_200.png,,,
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 2 6,h3,6,11,White,0.54,0.7,-0.16,Mistake,104,Mistake,Nf3,King's Indian Defense,defensive,board_images/board_201.png,0.70,1.74,1.04
